state,year,quarter,brand,total_users,total_transaction_amount
uttar-pradesh,2021,2,Xiaomi,8037309,0.2539282167443124
maharashtra,2020,3,Xiaomi,7895486,0.2513724424826326
karnataka,2022,1,Xiaomi,7620184,0.24423393469092286
uttar-pradesh,2021,1,Xiaomi,7599834,0.25777812450446586
maharashtra,2020,4,Samsung,7578573,0.2200985745178752
uttar-pradesh,2022,1,Vivo,7577324,0.19429189338213235
maharashtra,2021,2,Vivo,7509629,0.18932777930964656
karnataka,2021,4,Xiaomi,7306532,0.248018323098655
maharashtra,2020,2,Xiaomi,7291300,0.25347742746188906
uttar-pradesh,2020,4,Xiaomi,7082855,0.25992954491691367
uttar-pradesh,2021,4,Vivo,7025228,0.19185357445745774
maharashtra,2022,1,Oppo,7009300,0.1453378488638152
karnataka,2021,3,Xiaomi,6973776,0.25254291982381105
maharashtra,2020,3,Samsung,6914730,0.2201476348901048
karnataka,2022,1,Vivo,6902224,0.22122265363121418
maharashtra,2021,1,Vivo,6831786,0.18425673744186405
maharashtra,2020,1,Xiaomi,6677147,0.2551607874997277
uttar-pradesh,2022,1,Samsung,6602107,0.16928613179816906
karnataka,2021,2,Xiaomi,6567268,0.2550294021328784
uttar-pradesh,2020,3,Xiaomi,6521651,0.26256625099906933
maharashtra,2021,4,Oppo,6511923,0.14317423494650888
uttar-pradesh,2021,3,Vivo,6444391,0.1886979757074588
karnataka,2021,4,Vivo,6391484,0.21695725739542152
maharashtra,2020,2,Samsung,6335245,0.22024078078542855
uttar-pradesh,2021,4,Samsung,6308300,0.17227482207694622
rajasthan,2022,1,Vivo,6252325,0.2672064280746705
maharashtra,2020,4,Vivo,6188503,0.17972785756627194
karnataka,2021,1,Xiaomi,6173033,0.2561867546221272
maharashtra,2019,4,Xiaomi,6103857,0.2570554076455645
uttar-pradesh,2021,3,Samsung,6016111,0.17615752478882424
maharashtra,2021,3,Oppo,6005730,0.14104176496411552
uttar-pradesh,2020,2,Xiaomi,5953474,0.26461626207485034
karnataka,2021,3,Vivo,5824764,0.21093348966824013
uttar-pradesh,2021,2,Vivo,5805913,0.1834301922027162
maharashtra,2020,1,Samsung,5772343,0.2205845678698613
uttar-pradesh,2021,2,Samsung,5762770,0.1820671458080834
karnataka,2020,4,Xiaomi,5759174,0.2571038931737251
rajasthan,2021,4,Vivo,5751824,0.26171775642777456
andhra-pradesh,2022,1,Xiaomi,5743382,0.24073240824411116
karnataka,2022,1,Samsung,5641275,0.1808080736532787
west-bengal,2022,1,Xiaomi,5586240,0.2548491917371277
maharashtra,2020,3,Vivo,5536849,0.17627936478989661
andhra-pradesh,2021,4,Xiaomi,5518238,0.24537466690980744
maharashtra,2019,3,Xiaomi,5512362,0.2586375006035026
telangana,2022,1,Xiaomi,5509008,0.24870680773966877
maharashtra,2021,2,Oppo,5487836,0.13835567683776837
karnataka,2021,4,Samsung,5458878,0.18530018996154943
uttar-pradesh,2021,1,Samsung,5451884,0.18492199073504834
uttar-pradesh,2020,1,Xiaomi,5356063,0.2659910064711136
west-bengal,2021,4,Xiaomi,5313832,0.2573966456097541
uttar-pradesh,2021,1,Vivo,5294031,0.17956778822386144
karnataka,2020,3,Xiaomi,5287266,0.2580721462546766
telangana,2021,4,Xiaomi,5285587,0.2526855192952133
karnataka,2021,3,Samsung,5266120,0.19070318876639686
maharashtra,2019,4,Samsung,5262077,0.22160501930129575
andhra-pradesh,2021,3,Xiaomi,5256707,0.249607429247758
karnataka,2021,2,Vivo,5226819,0.20297519830571392
rajasthan,2021,3,Vivo,5212563,0.2542780018893176
uttar-pradesh,2022,1,Oppo,5167492,0.1325008412886953
uttar-pradesh,2020,4,Samsung,5086075,0.1866508858593451
karnataka,2021,2,Samsung,5073030,0.19700304721874545
maharashtra,2021,1,Oppo,5069410,0.13672456182836523
telangana,2021,3,Xiaomi,5040723,0.256979432052913
west-bengal,2021,3,Xiaomi,4999610,0.25873508625192887
gujarat,2022,1,Vivo,4996272,0.259340283786706
tamil-nadu,2022,1,Xiaomi,4978558,0.2297758528860914
maharashtra,2020,2,Vivo,4942835,0.17183452884514233
andhra-pradesh,2021,2,Xiaomi,4937684,0.25165424326757607
maharashtra,2019,2,Xiaomi,4892831,0.26057610451097685
bihar,2022,1,Xiaomi,4888198,0.26444622345731256
karnataka,2020,2,Xiaomi,4835717,0.2592131936730697
tamil-nadu,2022,1,Vivo,4823657,0.2226266925493215
karnataka,2021,1,Samsung,4808995,0.1995778772029951
uttar-pradesh,2021,4,Oppo,4798699,0.13104877961191125
uttar-pradesh,2019,4,Xiaomi,4790187,0.26686959477851857
andhra-pradesh,2022,1,Vivo,4772765,0.20004924144575534
uttar-pradesh,2020,4,Vivo,4769619,0.17503745256638248
karnataka,2021,1,Vivo,4760972,0.1975848769197926
maharashtra,2019,3,Samsung,4737873,0.22229883140781007
tamil-nadu,2021,4,Xiaomi,4737458,0.23185166529944343
telangana,2021,2,Xiaomi,4736356,0.25872000034959536
bihar,2021,4,Xiaomi,4718889,0.27220201729570426
madhya-pradesh,2022,1,Xiaomi,4678482,0.23801622973210365
maharashtra,2020,4,Oppo,4665421,0.13549417702062908
west-bengal,2021,2,Xiaomi,4654760,0.2588857306229334
gujarat,2021,4,Vivo,4645259,0.25608950471412717
andhra-pradesh,2021,1,Xiaomi,4644641,0.2529246640647629
uttar-pradesh,2020,3,Samsung,4643207,0.18693877587172875
rajasthan,2022,1,Xiaomi,4620642,0.1974729791288523
rajasthan,2021,2,Vivo,4603263,0.24251971117410398
madhya-pradesh,2022,1,Vivo,4575284,0.23276606549594892
bihar,2021,3,Xiaomi,4521874,0.2798055860082418
karnataka,2020,4,Samsung,4507034,0.2012052402074233
madhya-pradesh,2021,4,Xiaomi,4500562,0.24385038710207707
telangana,2022,1,Vivo,4471684,0.20187631836086514
rajasthan,2021,4,Xiaomi,4469665,0.203377345305376
tamil-nadu,2021,3,Xiaomi,4464525,0.23340943691366958
telangana,2021,1,Xiaomi,4458631,0.2599925978488978
tamil-nadu,2021,4,Vivo,4457962,0.21817310328484968
uttar-pradesh,2021,3,Oppo,4436027,0.12989114333435564
karnataka,2020,1,Xiaomi,4413738,0.2593725796234114
maharashtra,2020,1,Vivo,4396537,0.16800945721154414
andhra-pradesh,2021,4,Vivo,4381023,0.19480712128567224
west-bengal,2021,1,Xiaomi,4357020,0.2592106669845954
andhra-pradesh,2020,4,Xiaomi,4325662,0.2533098430509883
karnataka,2020,4,Vivo,4315773,0.19266687208166433
madhya-pradesh,2021,3,Xiaomi,4290362,0.2492913373107732
rajasthan,2021,3,Xiaomi,4289230,0.20923619226160292
uttar-pradesh,2019,3,Xiaomi,4276054,0.2665103607710678
maharashtra,2019,1,Xiaomi,4274491,0.2624891069401111
bihar,2021,2,Xiaomi,4268361,0.285087015651877
gujarat,2021,3,Vivo,4261214,0.2514471054380244
uttar-pradesh,2020,3,Vivo,4251520,0.17116918207484014
madhya-pradesh,2021,4,Vivo,4248158,0.23017458103472088
west-bengal,2022,1,Samsung,4233598,0.1931404716660796
uttar-pradesh,2020,2,Samsung,4228987,0.1879673502064736
maharashtra,2020,3,Oppo,4210793,0.13406107251646976
maharashtra,2019,2,Samsung,4177428,0.22247609106365643
tamil-nadu,2021,2,Xiaomi,4159447,0.23361718599669679
telangana,2020,4,Xiaomi,4150153,0.2605603901154692
rajasthan,2021,1,Vivo,4143832,0.23463061845340447
telangana,2021,4,Vivo,4135644,0.19771074655665175
andhra-pradesh,2022,1,Samsung,4124296,0.17286882683261443
karnataka,2020,3,Samsung,4123920,0.20128907556052333
west-bengal,2021,4,Samsung,4083535,0.19780230372921598
rajasthan,2021,2,Xiaomi,4079016,0.2149001224119823
west-bengal,2020,4,Xiaomi,4070350,0.25988544442942585
tamil-nadu,2021,3,Vivo,4059800,0.21225004496158398
madhya-pradesh,2021,2,Xiaomi,4052668,0.2542302568826734
uttar-pradesh,2021,2,Oppo,4047089,0.12786245903641658
bihar,2021,1,Xiaomi,4036125,0.2894049656797565
andhra-pradesh,2021,4,Samsung,4017419,0.17863905996119264
telangana,2022,1,Samsung,4003841,0.18075532179426915
karnataka,2019,4,Xiaomi,3999086,0.2599270633956209
andhra-pradesh,2021,3,Vivo,3981492,0.18905561650868394
andhra-pradesh,2020,3,Xiaomi,3978789,0.25354870716120315
karnataka,2022,1,Oppo,3941299,0.12632227286944772
west-bengal,2021,3,Samsung,3933160,0.20354517489216892
uttar-pradesh,2022,1,Realme,3918711,0.10048056276957264
andhra-pradesh,2021,3,Samsung,3911188,0.18571732873540034
madhya-pradesh,2021,3,Vivo,3891058,0.22608979204407054
rajasthan,2022,1,Samsung,3887688,0.16614862854198392
tamil-nadu,2021,1,Xiaomi,3887022,0.23369888835232575
telangana,2021,4,Samsung,3885608,0.1857573955849436
karnataka,2020,3,Vivo,3885369,0.18964536999299575
rajasthan,2021,1,Xiaomi,3873176,0.21930562828292346
maharashtra,2019,4,Vivo,3869506,0.16295883770162992
gujarat,2022,1,Xiaomi,3842766,0.19946552648973176
gujarat,2021,2,Vivo,3834323,0.2436659652804614
madhya-pradesh,2021,1,Xiaomi,3826173,0.25783832488949876
uttar-pradesh,2020,1,Samsung,3822401,0.1898267979906493
telangana,2020,3,Xiaomi,3810161,0.26113301444011405
andhra-pradesh,2021,2,Samsung,3798250,0.19358179451967175
maharashtra,2020,2,Oppo,3797269,0.13200965225690617
uttar-pradesh,2019,2,Xiaomi,3793613,0.26498466892641415
west-bengal,2020,3,Xiaomi,3792457,0.2624834531461897
rajasthan,2021,4,Samsung,3782393,0.17210530257673384
west-bengal,2021,2,Samsung,3778434,0.21014674155069926
telangana,2021,3,Vivo,3776315,0.19251906600559013
tamil-nadu,2022,1,Samsung,3775700,0.1742602351407808
telangana,2021,3,Samsung,3769093,0.1921508836122537
bihar,2020,4,Xiaomi,3761975,0.2918559922382237
karnataka,2020,2,Samsung,3760784,0.20159261415723498
uttar-pradesh,2021,1,Oppo,3737603,0.12677543897435983
uttar-pradesh,2020,2,Vivo,3723388,0.16549480434689945
rajasthan,2020,4,Vivo,3720519,0.22784043400242532
gujarat,2021,4,Xiaomi,3700589,0.2040105845896961
rajasthan,2021,3,Samsung,3672997,0.17917526140316345
telangana,2021,2,Samsung,3662257,0.20004812398398852
west-bengal,2022,1,Vivo,3652204,0.16661676502604703
tamil-nadu,2021,2,Vivo,3648711,0.20493147198057665
karnataka,2021,4,Oppo,3645496,0.12374541092584751
tamil-nadu,2021,4,Samsung,3636646,0.17797781662751622
andhra-pradesh,2021,1,Samsung,3635596,0.19797695817075972
andhra-pradesh,2020,2,Xiaomi,3635594,0.25388802469329785
rajasthan,2020,4,Xiaomi,3613815,0.22130600005119572
maharashtra,2019,1,Samsung,3611915,0.22180145956409583
tamil-nadu,2020,4,Xiaomi,3595631,0.23412735569248969
rajasthan,2021,2,Samsung,3591961,0.18923996831565906
west-bengal,2021,1,Samsung,3588427,0.21348503245234832
andhra-pradesh,2021,2,Vivo,3572140,0.18205786124544204
madhya-pradesh,2020,4,Xiaomi,3563397,0.25938351632889545
karnataka,2019,3,Xiaomi,3553970,0.26064909800642827
gujarat,2021,3,Xiaomi,3544088,0.20913070055097843
maharashtra,2018,4,Xiaomi,3540182,0.26455591789383665
gujarat,2022,1,Samsung,3511762,0.1822841818202392
west-bengal,2020,2,Xiaomi,3510266,0.2654863227424671
telangana,2020,2,Xiaomi,3507179,0.2621564455164379
gujarat,2021,1,Vivo,3492512,0.2380696662046393
telangana,2021,1,Samsung,3491284,0.20358446280669815
tamil-nadu,2021,3,Samsung,3487967,0.18235409443187378
madhya-pradesh,2021,2,Vivo,3483187,0.21850581537406683
bihar,2020,3,Xiaomi,3459128,0.29406319514914847
uttar-pradesh,2019,4,Samsung,3450916,0.1922564932297437
karnataka,2020,2,Vivo,3448934,0.1848762441862572
uttar-pradesh,2021,4,Realme,3440284,0.09395151054866839
karnataka,2020,1,Samsung,3434923,0.2018526789124745
uttar-pradesh,2020,4,Oppo,3433564,0.12600635308263375
rajasthan,2021,1,Samsung,3430073,0.19421640388179937
andhra-pradesh,2020,4,Samsung,3419866,0.20026662270778695
telangana,2021,2,Vivo,3396906,0.1855535186771312
gujarat,2021,4,Samsung,3390165,0.18689715164411044
maharashtra,2020,1,Oppo,3377366,0.1290628120415509
west-bengal,2020,4,Samsung,3365601,0.21488832942059533
maharashtra,2019,3,Vivo,3365190,0.15789317368052042
gujarat,2021,2,Xiaomi,3362430,0.21367781265114644
rajasthan,2020,3,Xiaomi,3353468,0.2240213576859265
west-bengal,2021,4,Vivo,3353243,0.16242769814973237
karnataka,2021,3,Oppo,3352923,0.121420155216401
rajasthan,2020,3,Vivo,3346801,0.22357598281081448
tamil-nadu,2021,2,Samsung,3335419,0.1873352878158843
rajasthan,2022,1,Oppo,3333119,0.14244794094002114
tamil-nadu,2021,1,Vivo,3309321,0.1989658506952127
andhra-pradesh,2020,1,Xiaomi,3307542,0.25399529721104036
madhya-pradesh,2020,3,Xiaomi,3292397,0.2620453917408668
bihar,2022,1,Samsung,3283813,0.1776507306762181
uttar-pradesh,2019,1,Xiaomi,3280805,0.26333528137574336
telangana,2020,4,Samsung,3270596,0.2053388801979332
gujarat,2021,3,Samsung,3267319,0.1927990251352456
andhra-pradesh,2021,1,Vivo,3245151,0.17671521362241543
uttar-pradesh,2020,1,Vivo,3239764,0.1608920744750166
odisha,2022,1,Xiaomi,3238439,0.2670926208222022
maharashtra,2022,1,Realme,3235912,0.06709664148953619
telangana,2020,1,Xiaomi,3226261,0.26215143424074056
rajasthan,2020,4,Samsung,3222360,0.19733373244755778
tamil-nadu,2020,3,Xiaomi,3217633,0.23583717931775472
west-bengal,2020,1,Xiaomi,3213394,0.26865996333696796
gujarat,2021,1,Xiaomi,3197714,0.21797454227727833
madhya-pradesh,2021,1,Vivo,3171754,0.21373830674189778
gujarat,2020,4,Vivo,3159752,0.23224585476600385
delhi,2022,1,Xiaomi,3155264,0.2330466127348616
gujarat,2021,2,Samsung,3154317,0.20045251706900255
andhra-pradesh,2020,3,Samsung,3154020,0.2009902242517957
uttar-pradesh,2022,1,Others,3148503,0.08073148372556378
tamil-nadu,2021,1,Samsung,3143951,0.18902333296137322
bihar,2021,4,Samsung,3142992,0.18129876815162638
bihar,2020,2,Xiaomi,3138353,0.2959658581709689
karnataka,2019,2,Xiaomi,3131468,0.26165150704536155
karnataka,2019,4,Samsung,3116527,0.20256371358434508
uttar-pradesh,2019,3,Samsung,3115702,0.1941899854574188
uttar-pradesh,2021,4,Others,3107597,0.08486608440655198
odisha,2021,4,Xiaomi,3105043,0.2723904718167491
uttar-pradesh,2020,3,Oppo,3101714,0.12487718472689313
rajasthan,2021,4,Oppo,3095179,0.1408358989465538
west-bengal,2020,3,Samsung,3093948,0.21413826310878337
uttar-pradesh,2021,3,Others,3089717,0.0904698897706428
telangana,2021,1,Vivo,3089209,0.18013858361640506
karnataka,2020,1,Vivo,3081057,0.18105780226573692
rajasthan,2020,2,Xiaomi,3073847,0.22663138296040883
karnataka,2021,2,Oppo,3067347,0.11911553960399943
bihar,2022,1,Vivo,3062549,0.16568058765274424
uttar-pradesh,2021,2,Others,3054141,0.09649157172079496
west-bengal,2021,3,Vivo,3037405,0.15718890966636198
delhi,2021,4,Xiaomi,3028207,0.23685388498682883
bihar,2021,3,Samsung,3009544,0.1862252735342887
madhya-pradesh,2022,1,Samsung,3009068,0.15308534271747154
madhya-pradesh,2020,2,Xiaomi,3003291,0.26403897586717145
gujarat,2020,4,Xiaomi,2998305,0.2203792916577577
gujarat,2022,1,Oppo,2996365,0.15553159424237778
maharashtra,2019,4,Oppo,2994940,0.12612771278455687
telangana,2020,3,Samsung,2992702,0.2051076830036731
gujarat,2021,1,Samsung,2987011,0.20361181628569516
andhra-pradesh,2019,4,Xiaomi,2985953,0.25395328393725297
rajasthan,2020,3,Samsung,2973921,0.19866652076915245
uttar-pradesh,2021,1,Others,2972705,0.1008309286235789
tamil-nadu,2020,4,Vivo,2971084,0.1934603524277839
odisha,2021,3,Xiaomi,2958185,0.27769892297481624
maharashtra,2018,4,Samsung,2956289,0.2209219045671811
andhra-pradesh,2020,4,Vivo,2950572,0.1727848662772636
west-bengal,2019,4,Xiaomi,2944739,0.2705303912941943
telangana,2019,4,Xiaomi,2941413,0.26214187700204916
rajasthan,2020,2,Vivo,2941265,0.216856256867387
uttar-pradesh,2021,3,Realme,2937420,0.0860104869184076
madhya-pradesh,2021,4,Samsung,2921496,0.15829310439833286
tamil-nadu,2020,4,Samsung,2918795,0.19005558555882415
delhi,2021,3,Xiaomi,2897206,0.2418356634411127
tamil-nadu,2020,2,Xiaomi,2891155,0.23793975138727652
bihar,2021,2,Samsung,2889063,0.19296267319007432
andhra-pradesh,2020,2,Samsung,2888149,0.2016909601649479
maharashtra,2019,2,Vivo,2871247,0.15291318223515768
andhra-pradesh,2022,1,Realme,2864092,0.12004769395326531
rajasthan,2021,3,Oppo,2855694,0.13930578188260034
madhya-pradesh,2020,4,Vivo,2853943,0.20774159341275666
karnataka,2021,1,Oppo,2840533,0.11788482755025849
haryana,2022,1,Xiaomi,2837979,0.2205628077060459
maharashtra,2021,4,Realme,2837580,0.06238838290924427
gujarat,2020,3,Vivo,2833786,0.22728751804541714
madhya-pradesh,2021,3,Samsung,2829150,0.1643876640136133
west-bengal,2020,2,Samsung,2820007,0.21328107002090907
bihar,2021,4,Vivo,2818559,0.16258433831924482
telangana,2020,4,Vivo,2805410,0.17613295799789513
gujarat,2020,4,Samsung,2800655,0.20585176127103727
uttar-pradesh,2019,2,Samsung,2800147,0.19559085909403298
uttar-pradesh,2020,4,Others,2795688,0.10259731556973517
uttar-pradesh,2019,4,Vivo,2793452,0.15562803775160391
gujarat,2020,3,Xiaomi,2792901,0.22400828306603376
gujarat,2021,4,Oppo,2791203,0.15387684385877856
andhra-pradesh,2022,1,Oppo,2780974,0.11656382394280212
bihar,2020,1,Xiaomi,2779954,0.29728204855102547
odisha,2021,2,Xiaomi,2776465,0.28070537453686567
rajasthan,2020,1,Xiaomi,2776323,0.22865350694812484
uttar-pradesh,2020,2,Oppo,2771946,0.12320570967360119
karnataka,2019,3,Samsung,2769407,0.20310904047099118
haryana,2022,1,Vivo,2767906,0.2151168556308594
maharashtra,2018,3,Xiaomi,2766078,0.26507611427774114
madhya-pradesh,2021,2,Samsung,2757784,0.17300014083239157
bihar,2021,1,Samsung,2749873,0.1971759797302336
telangana,2020,2,Samsung,2745328,0.2052092095261609
haryana,2021,4,Xiaomi,2742821,0.2263718737823877
delhi,2021,2,Xiaomi,2731995,0.24430551157640923
rajasthan,2020,2,Samsung,2715434,0.20020598382343519
karnataka,2019,4,Vivo,2711261,0.1762227943657812
uttar-pradesh,2018,4,Xiaomi,2709697,0.26200990450169814
west-bengal,2021,2,Vivo,2703412,0.15035679407634459
madhya-pradesh,2020,1,Xiaomi,2697286,0.26570657303333706
karnataka,2019,1,Xiaomi,2696059,0.262615751496127
andhra-pradesh,2020,3,Vivo,2687996,0.17129280056180043
maharashtra,2021,3,Others,2680225,0.06294383272324039
andhra-pradesh,2019,3,Xiaomi,2656468,0.2539961733268201
telangana,2019,3,Xiaomi,2642719,0.2619002102658951
haryana,2021,3,Xiaomi,2638176,0.2329446119744262
maharashtra,2022,1,Others,2636427,0.05466631887156802
maharashtra,2021,4,Others,2629266,0.05780829226955964
maharashtra,2021,2,Others,2626651,0.06622138069023949
maharashtra,2019,3,Oppo,2622932,0.12306676824434722
andhra-pradesh,2020,1,Samsung,2622762,0.20140914724705614
madhya-pradesh,2021,1,Samsung,2620433,0.1765858614352158
odisha,2021,1,Xiaomi,2614110,0.28312655170161755
karnataka,2020,4,Oppo,2613131,0.11665668609299693
west-bengal,2019,3,Xiaomi,2610101,0.2706668995072394
tamil-nadu,2020,1,Xiaomi,2602334,0.23935300939041063
tamil-nadu,2022,1,Oppo,2599406,0.11997062817129443
uttar-pradesh,2020,3,Others,2598899,0.10463349957782628
gujarat,2020,2,Xiaomi,2596510,0.22791083765622014
madhya-pradesh,2022,1,Oppo,2595568,0.13204866650620795
rajasthan,2021,2,Oppo,2591657,0.13653964744190042
delhi,2022,1,Vivo,2586749,0.19105630858314565
rajasthan,2020,1,Vivo,2582003,0.21264962358507247
andhra-pradesh,2021,4,Oppo,2580845,0.1147601792856419
gujarat,2021,3,Oppo,2580826,0.15229022230265712
tamil-nadu,2020,3,Vivo,2577603,0.18892602758642224
bihar,2021,3,Vivo,2576928,0.1594557586392382
delhi,2021,1,Xiaomi,2575350,0.24603977564221985
tamil-nadu,2020,3,Samsung,2574986,0.1887342139463102
gujarat,2020,3,Samsung,2570866,0.20619967505215617
haryana,2021,4,Vivo,2569078,0.21203242966023267
bihar,2020,4,Samsung,2566835,0.19913640463767063
maharashtra,2021,1,Others,2559509,0.0690312573890763
madhya-pradesh,2020,3,Vivo,2556833,0.2035010677937611
telangana,2020,3,Vivo,2542381,0.17424450420474924
telangana,2022,1,Oppo,2540306,0.11468333245149163
west-bengal,2020,1,Samsung,2535508,0.21198442715726393
uttar-pradesh,2021,2,Realme,2533804,0.08005220793422346
andhra-pradesh,2021,4,Realme,2528884,0.11244967490592858
rajasthan,2019,4,Xiaomi,2527395,0.23133984699906116
telangana,2020,1,Samsung,2521157,0.20485785976276646
gujarat,2020,2,Vivo,2517289,0.2209571480998682
haryana,2021,2,Xiaomi,2505880,0.23796188515101807
bihar,2019,4,Xiaomi,2484241,0.29778942767883193
west-bengal,2022,1,Oppo,2480868,0.11317938445296025
madhya-pradesh,2020,4,Samsung,2466332,0.17952697007784352
madhya-pradesh,2019,4,Xiaomi,2450683,0.2673888226179759
odisha,2020,4,Xiaomi,2445630,0.28441688798756937
uttar-pradesh,2020,2,Others,2444584,0.10865532971303578
bihar,2022,1,Realme,2443092,0.13216863411808863
west-bengal,2021,1,Vivo,2441181,0.14523232742565367
rajasthan,2020,1,Samsung,2440121,0.20096444975161942
uttar-pradesh,2019,1,Samsung,2437713,0.19566412474021086
karnataka,2019,2,Samsung,2435855,0.20352918557493774
maharashtra,2020,4,Others,2433482,0.07067371645228039
uttar-pradesh,2020,1,Oppo,2429781,0.12066697006633209
uttar-pradesh,2019,3,Vivo,2426158,0.15121330176550912
maharashtra,2019,1,Vivo,2418126,0.14849293967601365
delhi,2020,4,Xiaomi,2416705,0.24791884831792635
delhi,2021,4,Vivo,2413197,0.1887503346662102
andhra-pradesh,2020,2,Vivo,2409399,0.16825793881495216
madhya-pradesh,2021,4,Oppo,2400977,0.13009023559128474
tamil-nadu,2021,4,Oppo,2390692,0.11700070405226959
rajasthan,2021,1,Oppo,2390404,0.13534862631339586
andhra-pradesh,2019,2,Xiaomi,2389374,0.25448644547243193
haryana,2021,1,Xiaomi,2382996,0.24247242927154872
andhra-pradesh,2021,3,Oppo,2382363,0.11312319746277974
andhra-pradesh,2019,4,Samsung,2379139,0.20234416348589282
gujarat,2020,1,Xiaomi,2375291,0.23151338670581997
maharashtra,2021,3,Realme,2373088,0.055730863681045094
telangana,2019,2,Xiaomi,2369395,0.2619271685286116
gujarat,2021,2,Oppo,2364362,0.15025196077702432
karnataka,2020,3,Oppo,2361292,0.11525497192197212
gujarat,2020,2,Samsung,2358840,0.20704915455630762
telangana,2021,4,Oppo,2358132,0.11273408402636453
haryana,2021,3,Vivo,2357220,0.20813687117097454
bihar,2020,3,Samsung,2346143,0.1994474638859298
bihar,2022,1,Oppo,2339620,0.1265709108602388
west-bengal,2019,2,Xiaomi,2332770,0.2708493584254589
karnataka,2019,3,Vivo,2325265,0.17053554894270842
tamil-nadu,2019,4,Xiaomi,2321854,0.2413445963735954
delhi,2022,1,Samsung,2320460,0.17138830316155382
west-bengal,2019,4,Samsung,2312247,0.2124239484989423
bihar,2021,2,Vivo,2311477,0.1543852733351171
west-bengal,2021,4,Oppo,2309956,0.11189193145476281
telangana,2019,4,Samsung,2304661,0.20539385675980204
maharashtra,2018,3,Samsung,2300594,0.22046830134605228
tamil-nadu,2020,2,Samsung,2285005,0.18805408966959009
telangana,2020,2,Vivo,2282799,0.17063585054212488
madhya-pradesh,2020,3,Samsung,2278237,0.18132731476293323
rajasthan,2019,3,Xiaomi,2275622,0.232270224543405
delhi,2020,3,Xiaomi,2264717,0.2504061730789346
odisha,2020,3,Xiaomi,2262871,0.2863757481723997
rajasthan,2019,4,Vivo,2262135,0.20705982436113912
haryana,2022,1,Samsung,2259241,0.17558429369795014
maharashtra,2020,3,Others,2259213,0.07192766726437305
maharashtra,2019,2,Oppo,2256129,0.12015401841883477
madhya-pradesh,2020,2,Vivo,2247524,0.19759455051038632
delhi,2021,4,Samsung,2238115,0.17505614140555664
haryana,2020,4,Xiaomi,2236661,0.24498270676930556
uttar-pradesh,2020,1,Others,2232340,0.11086172126536334
delhi,2021,3,Vivo,2220413,0.18534237847369892
tamil-nadu,2020,2,Vivo,2216953,0.18245346432732829
madhya-pradesh,2021,3,Oppo,2215661,0.12874090664548238
rajasthan,2019,4,Samsung,2211270,0.2024040023318927
west-bengal,2020,4,Vivo,2206769,0.14089872918006552
gujarat,2020,1,Vivo,2206536,0.21506527926401992
rajasthan,2020,4,Oppo,2201891,0.13484134903384024
bihar,2019,3,Xiaomi,2197280,0.29772372672254993
west-bengal,2022,1,Others,2196334,0.10019869262415734
gujarat,2019,4,Xiaomi,2194279,0.2353417314122709
karnataka,2018,4,Xiaomi,2192270,0.26362700795425387
gujarat,2021,1,Oppo,2188804,0.14920144516822828
west-bengal,2022,1,Realme,2186959,0.09977099686233265
odisha,2022,1,Vivo,2184386,0.18015883011146017
tamil-nadu,2021,3,Oppo,2182951,0.11412666828388954
madhya-pradesh,2019,3,Xiaomi,2182732,0.2668159943984987
maharashtra,2018,2,Xiaomi,2177364,0.2648097489154892
uttar-pradesh,2021,1,Realme,2177149,0.073846532172515
haryana,2021,4,Samsung,2176063,0.1795959192300642
andhra-pradesh,2021,2,Oppo,2173037,0.11075110959458802
telangana,2021,3,Oppo,2168812,0.11056748724132281
andhra-pradesh,2020,1,Vivo,2165012,0.16625725883615955
bihar,2021,4,Oppo,2164915,0.12487986690802211
bihar,2021,4,Realme,2149920,0.12401490287743162
delhi,2021,3,Samsung,2149622,0.17943331006411403
west-bengal,2021,3,Oppo,2144589,0.11098474078776903
gujarat,2020,1,Samsung,2139753,0.20855611533236912
andhra-pradesh,2021,3,Realme,2134616,0.10135927533932025
bihar,2020,2,Samsung,2126374,0.20053005691279335
maharashtra,2020,2,Others,2126159,0.07391457129660589
delhi,2020,2,Xiaomi,2125586,0.2533131676164583
uttar-pradesh,2019,4,Oppo,2124897,0.11838168349922243
andhra-pradesh,2019,3,Samsung,2123659,0.20305204483963724
haryana,2021,2,Vivo,2114734,0.2008181114949451
karnataka,2020,2,Oppo,2113499,0.1132917467285284
andhra-pradesh,2019,1,Xiaomi,2110547,0.2548040756637163
uttar-pradesh,2019,2,Vivo,2108136,0.14725374465235516
bihar,2021,1,Vivo,2104591,0.15090689364797286
west-bengal,2021,4,Others,2103615,0.10189698218806369
uttar-pradesh,2018,3,Xiaomi,2102198,0.25964335378707026
kerala,2022,1,Xiaomi,2098370,0.233872054419943
odisha,2020,2,Xiaomi,2091828,0.28819746731851675
haryana,2021,3,Samsung,2089070,0.18445986944669898
telangana,2019,1,Xiaomi,2087604,0.26214901251659933
madhya-pradesh,2020,2,Samsung,2084294,0.1832439324614532
karnataka,2019,1,Samsung,2083753,0.20297269459878628
telangana,2019,3,Samsung,2076152,0.20575197186835176
haryana,2020,3,Xiaomi,2075024,0.24706149057200444
telangana,2020,1,Vivo,2072065,0.16836666704585898
delhi,2021,2,Samsung,2070161,0.1851217671154343
uttar-pradesh,2019,4,Others,2066679,0.1151382581238006
